	Blissymbolics, world writing
	changed (thing), changing, product, transform
	changingly, varyingly, mutatingly
	changeable, variable, mutatable, transformable
	changed, varied, mutated, alternated, modulated, permutated, transformed
	to change, to alterate, to mutate, to modulate, to vary, to permutate, to overturn
	to be changed, to be altered, to be mutated, to be modulated, to be varied, to be permutated, to be overturned
	the change, the alteration, the mutation, the modulation, the variation, the permutation, version (Unit of Action)
	transforms, changes
	to revert (?), reset (?)
	development
	recession
	changer, alterator, mutator, modulator, variator, permutator, change agent
	weather forecast
	wave, waves, signal (?)
	rough sea
	umbrella
	umbrella
	waterfall
	water tank, hydrant
	oil, fat
	to oil
	oil (heavier than water kind)
,	cooking oil, edible oil, vegetable oil
,	fat
	fire
	the fire
	to burn, sets afire
	fiery, inflammable
	inflammable
	inflammable liquid
	inflammable gas
	fires
	to set fire
	open fire
	stove, furnace, energy (?)
	heat
	energise (?)
	electric stove
	microwave oven
	stoker
	amount of energy (?) intensity (?)
	extinguish
	flame
	flame
	cook, cooking, boiling
	bake, baking
	grill, frying
	heat, hot
	cold
	pen, writing tool, writing stick
	the pen, the pencil
	to write, writing, fill out
	penning
	pens, writing tools
	the writing, literature (?)
	written
	fountain pen
	ink pen
	ink
	writer
	writing room
	brief
	to converse, to communicate
	shall converse, will converse
	has conversed
	sheet of paper, leaf, page, paper, written page
	the paper (leaf)
	to paper (to leaf)
	papery (leafy)
	papers (leaves)
	reading
	to read
	to be read
	reader
	notice
	spoken story, reading aloud, speech, story for printing
	printed story, description, report
	the report
	reports
	reporting
	will report
	has reported, described
	reported
	reporting, to report, to describe
	paragraph
	paragraph
	copy
	printed copy, reproduction, duplicate, a photocopy
	a writing, document, file
	written pages
	memorandum
	advertising
	advertisement
	leaflets on Blissymbols
	petition (?), paper on names
	line
	letter, word
	letter
	book, a writing
	the book
	books
	to read, to study
	chapter
	chapter
	book cover, cover of book
	collection
	library
	librarian
	timetable
	author, book writer
	book printer
	publisher
	book store, book seller
	envelope, letter, correspondence
	mail
	to mail
	envelopes
	messenger
	letter correspondence
	parcel, package
	the parcel
	parcels
	to parcel
	parcel weight
	parcel fee, parcel cost
	post card
	the post card
	post cards
	stamp
	the stamp
	stamps
	to stamp
	stamp fee, postage
	cancellation
	telegram, cable, e-mail
	e-mail
	to e-mail
	will e-mail
	e-mailed
	airmail
	money order
	money cable, funds transfer, telegraphic transfer
	money cable, funds transfer, telegraphic transfer
R	registered mail
	letter box
	letter box clearance time
	telegraphist
	email correspondence
	sword, knife, cutter, cutlery
	the sword
	to cut, cuts
	is cut
	cuts
	is cut by, to be cut
	swords, knives
	to have been cut
	shall be cut
	a cut
	scalpel
	operation, operations
	operating table
Dr	surgeon
	plough
	attack
	attacking
	to invade
	steel
	scissors
	defence
	defence
	defense, defensive
	harvest
	war, fight, military
	war, fight, fighting
	victory
	defeat
	soldier, fighter
	troops, soldiers, fighters
	division (16,000 soldiers)
	civilian
	militant spirit
	pacifist spirit
	peace (not war)
	war (between states)
	gun, rifle
	fire, shoot, goes off
	pistol, revolver
	canon
	machine gun, gun machine
	wheel, mechanism
	the wheel
	to wheel, wheeling
	wheely, wheel like
2	bicycle
	to move
	movement, motion
	mobile
	active
	movements (?), moves (?)
	quick, fast
	slow
	slowly
	delay (?), slown
	prod
	jerk
	express
	push
	pull
	to and fro move
	shake
	carry, transport, fetch, get
	carrier, courier
	shall carry, shall send, shall get
	has carried, sent, got
0	standstill
45m/sec	moving at 45m/s
	to send off
	to fetch, to bring
	cart note, delivery note, delivery docket
	arrival note, arrival acknowledgement
	speed
	speed, velocity
	electric motion
	travel, journey
	to travel, travelling
	shall travel, will travel, will tour
	have travelled, travelled, toured
	traveller, tourist
	sightseeing tours
	car, vehicle, motorcar, carriage
	train
	railway, rail
	railway station
	platform
	engine
	electric vehicle, electric car
	tram, train
	steam vehicle
	steam train, steam engine
	railway engine (BPB)
	express train (BPB)
	motor bus
	bus (BPB)
	taxi, taxi cabriolet, taxi cab, cab
	combustion vehicle
	motor car
	driving
	garage
	service station, petrol station (BPB)
	tow truck, wreck crane
	petrol, gasoline
	dining car
	sleeping car
	mail car
	baggage car
(I)	first class car
(II)	second class car, business class car
(III)	third class car, economy
	ticket (train or car)
	ticket
	ticket (door)
	ticket (travel)
	tickets
	tickets
	tickets
	tickets
	crossing, transverse (?)
	across
	across
	passport
	passport holder
	visa, transit visa
	travel document
	go and return
	key
	keyingly
	keyable, lockable
	keyed, locked (adjective)
	to key, keying, locking
	to key, keying, locking
	to be keyed, to be locked
	shall key
	did key, did lock
	been keyed, been locked
	the key (unit of action)
	the key
	keys
	box, suitcase, hand luggage
	luggage, baggage
	cloak room
	cabin luggage
	porter
	bowl, container, vessel, hold
	the hold, the bowl, the vessel, the saved or stored item
	containing, to hold, contains
	can hold, is holding, capacious
	containment
	bowls, vessels
	contents, load, cargo, freight, filling, collection, accumulation, hoard, store, treasure
	the holding
	the holdings
	full, complete
	full, completely
	well, thorough
	empty
	overflow, too much
	enough, sufficient
	almost
	satisfaction
	contentment, rich, fortunate, satisfied
	contentment in life
	capacity
	grip, hold
	to grip, to hold
	receive, get, take, pick up, obtain, accept, absorb, acquire, accumulate, collect
	receivingly
	receivable
	received (adjective), accessed (?)
	to receive, to get, to pick up, to obtain, to accept, to absorb, to acquire, to accumulate, to collect, to fill
	to receive, receiving
	to be received (passive)
	shall receive, will receive
	did receive, have received, received
	been receiving
	the receiver, the reception
	give, offer, let go, contribute, present, release, award, dispense, issue
	will give, shall give
	has given, did give
	to give, giving, paying
	to be giving
	to give
	given
	giveable, gettable
	been given
	the gift (unit of action)
	the gift (thing given)
	to exchange, to change, interchange, substitute, convert, barter, swap, reciprocate
	exchanged product
	exchangingly
	exchangeable
	exchanged (adjective)
	to exchange
	to exchange (active)
	to be exchanged, exchanged
	shall exchange
	did exchange, was exchanged
	been exchanged
	the exchange (unit of action)
	exchangers, converters, swappers
	squander, dissipate, waste, lavish
	for, in exchange for, against
	goods, merchandise, contents
	reception of goods
	will receive the goods, reception of goods
	store house, shed
	warehouse, store house
	storeman
	lend, let, loan, lease
	borrow, hire, rent, loan
	book shelf
	bath
	bath heater
	tender
	stiffening
	standing
	person standing
	to stand
	weak
	weak person
	weak
	normal, alright
	knee
	sit
	sitter
	to sit
	leaning
	lent
	will lean
	lying down, lying
	lying
	buried
	sick
	the sick, the patient
	sick
	sicken, ailing, make sick
	sickness
	disease
	healthy, pretty good, sane
	hospital
	stretcher
	back
	front
	buttock, bum, arse
	genital
	needy, in need of support
	needy individual
	to need
	needy, necessary
	need, the need, the necessity
	helper
	to help, to support
	helpful, supportive
	the help
	necessity, feeling of need
	necessity, required
	thought of necessity
	need (rational)
	urge to help
	conscience urge to help
	pain, suffering
	suffered
	mutual help
	animal
	animal
	domesticated, domestic animal
	domesticated animal
	animal of forest, wild animal
	horse
,	stallion
,	mare
	cattle
1,	bull
1,	steer, ox
	pig
1	dog
	dog
2	cat
	feline, cat (BCI)
	cat (?)
	animal undermining house
1	mouse
2	rat
	insect
	bee
	insect feeding on flowers
	insect undermining house
1	termite
2	ant
	insect undermining crops
1	locust
	insect undermining trees
	insect undermining fabric
1	moth
2	silverfish
	destructive insects
	destroying insects
	pesticide, insecticide
	snail
	butterfly
	snake
	earthworm, worm
	spider
	bird
	doings of a bird
	domestic bird
	fowl
	water bird
	domestic water bird
	duck
	mountain bird
Chile	mountain bird of Chile
Canada	bird speciality of Canada
	forest bird
	sea bird
	fish
	fishes
	fishy, fish like
	fish of ocean
	ocean fish
	river fish
Canada	fish of river in Canada
	mountain river fish
,	cooked fish
,	baked fish
,	grilled fish
	fishing
	bacilli
	bacilli which attack grapes
	plant
	flower
	to flower, flowers
	flowery
	flowers
	garden
	growth, grows
	to grow, growth
	metaphor, figure of speech
	poetical metaphor, flowery speech
	young, new, child
	very young, much young, baby
	children
	babies
	boy
	baby boy
	girl
	baby girl
	grown up, adult
	old
	grass
	meadow
	grain, wheat
,	flour
	field, crop
	farm
	farmer
	agricultural research station
	agricultural research
	vegetables
1	cabbage
2	spinach
3	cauliflower
4	lettuce
	fruit
	apple
	orange
	lemon
	berry
	strawberry
	grape
	grape juice
OH	wine
OH	beer
	underground vegetable
	potato
	vegetable, fruit above ground
	tomato
	bean
	pea
	asparagus
	cucumber
	roots
	mushroom
	tree
	trees
	many trees, grove
	forest
	branch
	tree trunk, trunk
	bark (?)
	ringbark (?)
	wood
	shrub
	pine, pine tree
	park (BPB)
	electricity, live wire
	direct current
	alternating current
	alternating current
	radio, wireless
	radio sets
	radio cable
	electrician
	radio technician, radio electrician, radio technical officer, RTO
	conducting electricity
	conducting
	conductor
	conductor
	insulation
	insulating
	insulator
	electrolyte
	atom
	atoms
